date,close,open
31-Dec-25,23.1,0
31-Dec-26,22.32,0
31-Dec-27,23,0
31-Dec-28,29.11,0
31-Dec-29,29.11,0
31-Dec-30,25.35,0
31-Dec-31,26.05,0
31-Dec-32,25.23,0
31-Dec-33,23.5,0
31-Dec-34,24.1,0
31-Dec-35,25.51,0
31-Dec-36,23.38,0
31-Dec-37,23.26,0
31-Dec-38,23.38,0
31-Dec-39,24.5,0
31-Dec-40,23.14,0
31-Dec-41,22.12,0
31-Dec-42,17.02,0
31-Dec-43,17.31,0
31-Dec-44,17.4,0
31-Dec-45,21.54,0
31-Dec-46,21.57,0
31-Dec-47,21.45,0
31-Dec-48,22.18,0
31-Dec-49,22.45,0
31-Dec-50,22.37,0
31-Dec-51,22.26,0
31-Dec-52,21.38,0
31-Dec-53,20.3,0
31-Dec-54,21.51,0
31-Dec-55,22.18,0
31-Dec-56,21.58,0
31-Dec-57,21.37,0
31-Dec-58,21.4,0
31-Dec-59,21.55,0
31-Dec-60,22.02,0
31-Dec-61,21.24,0
31-Dec-62,22.08,0
31-Dec-63,21.55,0
31-Dec-64,21.37,0
31-Dec-65,21.2,0
31-Dec-66,29.57,0
31-Dec-67,24.31,0
31-Dec-68,24.32,0
31-Dec-69,24.02,0
31-Dec-70,24.27,0
31-Dec-71,23.47,0
31-Dec-72,23.24,0
31-Dec-73,23.25,0
31-Dec-74,23.58,0
31-Dec-75,23.13,28.39
31-Dec-76,23.5,28.36
31-Dec-77,23.55,27.15
31-Dec-78,23.51,28.55
31-Dec-79,23.26,29.07
31-Dec-80,23.4,27.48
31-Dec-81,23.3,26.45
31-Dec-82,39.41,47.21
31-Dec-83,37.39,43.44
31-Dec-84,36.43,43.35
31-Dec-85,36.48,43
31-Dec-86,36.45,43.25
31-Dec-87,39.02,46.27
31-Dec-88,36.23,42.12
31-Dec-89,36.45,43.52
31-Dec-90,35.58,43.16
31-Dec-91,44.04,54.02
31-Dec-92,44.08,54
31-Dec-93,43.2,50.26
31-Dec-94,44.11,51.17
31-Dec-95,43.12,50.53
31-Dec-96,43.5,52.32
31-Dec-97,44.4,52.03
31-Dec-98,44.47,51.35
31-Dec-99,44.35,51.29
31-Dec-00,43.57,50.33
31-Dec-01,44.15,52.09
31-Dec-02,44.59,54.02
31-Dec-03,43.49,51.24
31-Dec-04,44.43,52.58
31-Dec-05,44.19,51.37
31-Dec-06,44.06,51.23
31-Dec-07,45.54,51.37
31-Dec-08,44.42,51.37
31-Dec-09,44.4,52.3
31-Dec-10,44.07,50.19
31-Dec-11,43.35,48.48
31-Dec-12,44.05,51.42
31-Dec-13,43.47,51.58
