year	value
1925	6200
1926	6200
1927	6200
1928	8800
1929	8800
1930	8800
1931	8200
1932	8800
1933	7600
1934	7600
1935	7600
1936	7600
1937	7600
1938	7600
1939	7600
1940	7000
1941	7000
1942	5500
1943	5500
1944	5500
1945	7000
1946	7000
1947	7000
1948	7000
1949	7300
1950	7300
1951	7300
1952	7300
1953	7300
1954	7400
1955	7400
1956	7300
1957	7300
1958	7400
1959	7400
1960	7400
1961	7400
1962	7400
1963	7400
1964	7400
1965	7400
1966	9200
1967	8700
1968	8700
1969	8700
1970	8900
1971	8900
1972	8900
1973	8900
1974	8900
1975	8900
1976	7300
1977	8900
1978	8900
1979	9000
1980	8900
1981	8900
1982	13548
1983	12600
1984	12640
1985	12640
1986	12600
1987	13000
1988	12630
1989	12650
1990	12640
1991	15000
1992	15000
1993	15000
1994	15000
1995	15000
1996	15000
1997	15000
1998	15000
1999	15000
2000	15000
2001	7300
2002	15000
2003	15000
2004	15000
2005	15000
2006	15000
2007	15000
2008	15000
2009	15000
2010	15000
2011	15000
2012	15000
2013	15000
